condition,session_id,first_offer,final_price,deal_made
anchor_low,1,55,,False
anchor_low,2,55,,False
anchor_low,3,55,,False
anchor_low,4,55,,False
anchor_low,5,55,,False
anchor_low,6,55,,False
anchor_low,7,55,,False
anchor_low,8,55,,False
anchor_low,9,55,,False
anchor_low,10,55,,False
anchor_low,11,55,,False
anchor_low,12,55,,False
anchor_low,13,55,,False
anchor_low,14,55,,False
anchor_low,15,55,,False
anchor_low,16,55,,False
anchor_low,17,55,,False
anchor_low,18,55,,False
anchor_low,19,55,,False
anchor_low,20,55,,False
anchor_low,21,55,,False
anchor_low,22,55,,False
anchor_low,23,55,,False
anchor_low,24,55,,False
anchor_low,25,55,,False
anchor_low,26,55,,False
anchor_low,27,55,,False
anchor_low,28,55,,False
anchor_low,29,55,,False
anchor_low,30,55,,False
anchor_low,31,55,,False
anchor_low,32,55,,False
anchor_low,33,55,,False
anchor_low,34,55,,False
anchor_low,35,55,,False
anchor_low,36,55,,False
anchor_low,37,55,,False
anchor_low,38,55,,False
anchor_low,39,55,,False
anchor_low,40,55,,False
anchor_low,41,55,,False
anchor_low,42,55,,False
anchor_low,43,55,,False
anchor_low,44,55,,False
anchor_low,45,55,,False
anchor_low,46,55,,False
anchor_low,47,55,,False
anchor_low,48,55,,False
anchor_low,49,55,,False
anchor_low,50,55,,False
anchor_low,51,55,,False
anchor_low,52,55,,False
anchor_low,53,55,,False
anchor_low,54,55,,False
anchor_low,55,55,,False
anchor_low,56,55,,False
anchor_low,57,55,,False
anchor_low,58,55,,False
anchor_low,59,55,,False
anchor_low,60,55,,False
anchor_low,61,55,,False
anchor_low,62,55,,False
anchor_low,63,55,,False
anchor_low,64,55,,False
anchor_low,65,55,,False
anchor_low,66,55,,False
anchor_low,67,55,,False
anchor_low,68,55,,False
anchor_low,69,55,,False
anchor_low,70,55,,False
anchor_low,71,55,,False
anchor_low,72,55,,False
anchor_low,73,55,,False
anchor_low,74,55,,False
anchor_low,75,55,,False
anchor_low,76,55,,False
anchor_low,77,55,,False
anchor_low,78,55,,False
anchor_low,79,55,,False
anchor_low,80,55,96.4,True
anchor_low,81,55,,False
anchor_low,82,55,,False
anchor_low,83,55,,False
anchor_low,84,55,,False
anchor_low,85,55,,False
anchor_low,86,55,,False
anchor_low,87,55,,False
anchor_low,88,55,,False
anchor_low,89,55,,False
anchor_low,90,55,,False
anchor_low,91,55,,False
anchor_low,92,55,,False
anchor_low,93,55,,False
anchor_low,94,55,,False
anchor_low,95,55,,False
anchor_low,96,55,96.4,True
anchor_low,97,55,,False
anchor_low,98,55,,False
anchor_low,99,55,,False
anchor_low,100,55,,False
anchor_low,101,55,,False
anchor_low,102,55,,False
anchor_low,103,55,,False
anchor_low,104,55,,False
anchor_low,105,55,,False
anchor_low,106,55,,False
anchor_low,107,55,,False
anchor_low,108,55,96.4,True
anchor_low,109,55,,False
anchor_low,110,55,,False
anchor_low,111,55,,False
anchor_low,112,55,,False
anchor_low,113,55,,False
anchor_low,114,55,,False
anchor_low,115,55,,False
anchor_low,116,55,,False
anchor_low,117,55,,False
anchor_low,118,55,,False
anchor_low,119,55,,False
anchor_low,120,55,,False
anchor_low,121,55,,False
anchor_low,122,55,,False
anchor_low,123,55,,False
anchor_low,124,55,,False
anchor_low,125,55,,False
anchor_low,126,55,,False
anchor_low,127,55,,False
anchor_low,128,55,,False
anchor_low,129,55,,False
anchor_low,130,55,,False
anchor_low,131,55,,False
anchor_low,132,55,,False
anchor_low,133,55,96.4,True
anchor_low,134,55,,False
anchor_low,135,55,,False
anchor_low,136,55,,False
anchor_low,137,55,,False
anchor_low,138,55,,False
anchor_low,139,55,,False
anchor_low,140,55,,False
anchor_low,141,55,,False
anchor_low,142,55,,False
anchor_low,143,55,,False
anchor_low,144,55,,False
anchor_low,145,55,,False
anchor_low,146,55,,False
anchor_low,147,55,,False
anchor_low,148,55,,False
anchor_low,149,55,,False
anchor_low,150,55,,False
anchor_mid,151,65,104,True
anchor_mid,152,65,104,True
anchor_mid,153,65,104.0,True
anchor_mid,154,65,104,True
anchor_mid,155,65,104.0,True
anchor_mid,156,65,104.0,True
anchor_mid,157,65,104.0,True
anchor_mid,158,67,104.0,True
anchor_mid,159,65,104.0,True
anchor_mid,160,70,104.0,True
anchor_mid,161,65,104.0,True
anchor_mid,162,67,104.0,True
anchor_mid,163,65,104,True
anchor_mid,164,65,106.4,True
anchor_mid,165,65,104,True
anchor_mid,166,65,104,True
anchor_mid,167,65,104,True
anchor_mid,168,67,104,True
anchor_mid,169,65,104.0,True
anchor_mid,170,65,89.6,True
anchor_mid,171,65,104,True
anchor_mid,172,65,106.4,True
anchor_mid,173,65,104.0,True
anchor_mid,174,67,104.0,True
anchor_mid,175,65,104.0,True
anchor_mid,176,65,104,True
anchor_mid,177,65,104,True
anchor_mid,178,67,104.0,True
anchor_mid,179,65,104.0,True
anchor_mid,180,65,104,True
anchor_mid,181,65,104.0,True
anchor_mid,182,65,104,True
anchor_mid,183,65,94.4,True
anchor_mid,184,65,106.4,True
anchor_mid,185,65,110,True
anchor_mid,186,67,93.6,True
anchor_mid,187,65,104.0,True
anchor_mid,188,65,104.0,True
anchor_mid,189,67,93.6,True
anchor_mid,190,65,104,True
anchor_mid,191,65,104,True
anchor_mid,192,65,104.0,True
anchor_mid,193,70,104,True
anchor_mid,194,65,104.0,True
anchor_mid,195,65,104,True
anchor_mid,196,65,104,True
anchor_mid,197,65,104.0,True
anchor_mid,198,67,96.4,True
anchor_mid,199,65,104,True
anchor_mid,200,65,106.4,True
anchor_mid,201,67,104,True
anchor_mid,202,65,104,True
anchor_mid,203,65,106.4,True
anchor_mid,204,65,89.6,True
anchor_mid,205,65,104,True
anchor_mid,206,65,104.0,True
anchor_mid,207,67,104,True
anchor_mid,208,65,104.0,True
anchor_mid,209,67,93.6,True
anchor_mid,210,65,104.0,True
anchor_mid,211,65,104,True
anchor_mid,212,65,104.0,True
anchor_mid,213,65,104.0,True
anchor_mid,214,67,104,True
anchor_mid,215,65,104.0,True
anchor_mid,216,65,104,True
anchor_mid,217,65,104.0,True
anchor_mid,218,67,104,True
anchor_mid,219,65,104.0,True
anchor_mid,220,65,106.4,True
anchor_mid,221,65,106.4,True
anchor_mid,222,65,104,True
anchor_mid,223,65,104.0,True
anchor_mid,224,65,104.0,True
anchor_mid,225,65,104,True
anchor_mid,226,65,104,True
anchor_mid,227,65,104.0,True
anchor_mid,228,67,93.6,True
anchor_mid,229,65,96.4,True
anchor_mid,230,65,104.0,True
anchor_mid,231,65,104,True
anchor_mid,232,65,104.0,True
anchor_mid,233,65,104.0,True
anchor_mid,234,65,106.4,True
anchor_mid,235,67,104,True
anchor_mid,236,67,104.0,True
anchor_mid,237,65,104.0,True
anchor_mid,238,65,104,True
anchor_mid,239,65,104.0,True
anchor_mid,240,65,104.0,True
anchor_mid,241,67,104.0,True
anchor_mid,242,65,104,True
anchor_mid,243,65,106.4,True
anchor_mid,244,67,104.0,True
anchor_mid,245,65,110,True
anchor_mid,246,65,104.0,True
anchor_mid,247,65,104.0,True
anchor_mid,248,65,106.4,True
anchor_mid,249,65,106.4,True
anchor_mid,250,67,104.0,True
